alert_id,client_id,product_id,product_family,product_category,product_block,alert_type,category,priority_score,priority_level,urgency,confidence,impact_score,urgency_score,explainability_score,expected_revenue,recommended_action,reason,actor_id,action_deadline_hours,source_engines,explanation,evidence,created_at,due_at,suppressed,suppression_reason
AL-27bcbfd093ef,23283,Categoria C1,Anestesia,unknown,commodity,cross_sell_opportunity,opportunity,53.67,medium,critical,0.6,0.148208,1.0,0.75,2223.12,Prepare a complementary offer linked to the client's observed consumption profile.,Detected available wallet share in a related product family.,televenta,24,feature_engineering | commodity_ai_engine,Potential gap is 2223.12. | Capture ratio is 0.00.,"{""potential_h"": 2223.12, ""potential_gap"": 2223.12, ""capture_ratio"": 0.0, ""cross_sell_score"": 1.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-d5dfce2daf1a,1000077172,5103,Familia T1,Categoria T1,technical,product_mix_drift,anomaly,68.97,medium,critical,0.7,0.44421416234887734,0.999481865284974,0.82,0.0,Ask the account owner to validate whether the product mix changed or moved to another supplier.,Product behavior drifted versus historical and peer pattern.,delegado,24,technical_product_engine,Highest drift score is 1.00. | Volume drift is 0.00. | Interval drift is 1.00.,"{""volume_drift_score"": 0.0, ""interval_drift_score"": 0.999481865284974, ""peer_drift_score"": 0.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-a5eb527707fc,1000100211,Categoria C2,Bioseguridad,unknown,commodity,cross_sell_opportunity,opportunity,52.0,medium,critical,0.6,0.11115599999999999,1.0,0.75,1667.34,Prepare a complementary offer linked to the client's observed consumption profile.,Detected available wallet share in a related product family.,televenta,24,feature_engineering | commodity_ai_engine,Potential gap is 1667.34. | Capture ratio is 0.00.,"{""potential_h"": 1667.34, ""potential_gap"": 1667.34, ""capture_ratio"": 0.0, ""cross_sell_score"": 1.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-7c3946f86722,1000080829,Categoria T1,Biomateriales,unknown,commodity,cross_sell_opportunity,opportunity,53.77,medium,high,0.6,0.377742,0.7076470588235294,0.75,5666.13,Prepare a complementary offer linked to the client's observed consumption profile.,Detected available wallet share in a related product family.,televenta,48,feature_engineering | commodity_ai_engine,Potential gap is 5666.13. | Capture ratio is 0.29.,"{""potential_h"": 8007.0, ""potential_gap"": 5666.13, ""capture_ratio"": 0.2923529411764706, ""cross_sell_score"": 0.7076470588235294}",2026-05-10T01:57:50.694097,2026-05-12T01:57:50.694097,False,
AL-00173da66fe9,35238,Categoria C2,Bioseguridad,unknown,commodity,cross_sell_opportunity,opportunity,50.26,medium,critical,0.6,0.07242933333333333,1.0,0.75,1086.44,Prepare a complementary offer linked to the client's observed consumption profile.,Detected available wallet share in a related product family.,televenta,24,feature_engineering | commodity_ai_engine,Potential gap is 1086.44. | Capture ratio is 0.00.,"{""potential_h"": 1086.44, ""potential_gap"": 1086.44, ""capture_ratio"": 0.0, ""cross_sell_score"": 1.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-63fa3860bacc,42181,5108,Familia T1,Categoria T1,technical,account_deterioration,executive,52.23,medium,medium,0.72,0.3289878203100285,0.657975640620057,0.86,0.0,Escalate to the account owner and register the recovery outcome after contact.,"Account quality is deteriorating across risk, inactivity or drift signals.",delegado,48,technical_product_engine | signal_fusion,Deterioration score is 0.66. | Risk score is 0.60. | Negative growth component is -0.00.,"{""risk_score"": 0.5985004745333755, ""inactivity_score"": 1.0, ""drift_score"": 0.9925023726668776, ""negative_growth"": -0.0}",2026-05-10T01:57:50.694097,2026-05-12T01:57:50.694097,False,
AL-eb4adfc8f823,37972,5099,Familia T1,Categoria T1,technical,product_mix_drift,anomaly,68.99,medium,critical,0.7,0.44434782608695644,0.999782608695652,0.82,4131.36,Ask the account owner to validate whether the product mix changed or moved to another supplier.,Product behavior drifted versus historical and peer pattern.,delegado,24,technical_product_engine,Highest drift score is 1.00. | Volume drift is 0.00. | Interval drift is 1.00.,"{""volume_drift_score"": 0.0, ""interval_drift_score"": 0.999782608695652, ""peer_drift_score"": 0.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-e25b983c8cb1,1000037645,Categoria C2,Bioseguridad,unknown,commodity,cross_sell_opportunity,opportunity,52.0,medium,critical,0.6,0.11115599999999999,1.0,0.75,1667.34,Prepare a complementary offer linked to the client's observed consumption profile.,Detected available wallet share in a related product family.,televenta,24,feature_engineering | commodity_ai_engine,Potential gap is 1667.34. | Capture ratio is 0.00.,"{""potential_h"": 1667.34, ""potential_gap"": 1667.34, ""capture_ratio"": 0.0, ""cross_sell_score"": 1.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-0d5d8570d97b,34240,Categoria T1,Biomateriales,unknown,commodity,cross_sell_opportunity,opportunity,52.55,medium,critical,0.6,0.12329733333333334,1.0,0.75,1849.46,Prepare a complementary offer linked to the client's observed consumption profile.,Detected available wallet share in a related product family.,televenta,24,feature_engineering | commodity_ai_engine,Potential gap is 1849.46. | Capture ratio is 0.00.,"{""potential_h"": 1849.46, ""potential_gap"": 1849.46, ""capture_ratio"": 0.0, ""cross_sell_score"": 1.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-5a2636c22327,1000100556,5115,Familia T2,Categoria T1,technical,product_mix_drift,anomaly,68.97,medium,critical,0.7,0.44419191919191914,0.999431818181818,0.82,0.0,Ask the account owner to validate whether the product mix changed or moved to another supplier.,Product behavior drifted versus historical and peer pattern.,delegado,24,technical_product_engine,Highest drift score is 1.00. | Volume drift is 0.00. | Interval drift is 1.00.,"{""volume_drift_score"": 0.0, ""interval_drift_score"": 0.999431818181818, ""peer_drift_score"": 0.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-c8831cf6fc32,1000078317,5107,Familia T1,Categoria T1,technical,churn_risk,risk,61.5,medium,critical,0.65,0.299957805907173,1.0,0.85,1082.83,Schedule a retention call and validate whether the product has moved to a competitor.,Technical-product relationship shows abandonment risk.,delegado,24,technical_product_engine,Churn risk score is 60.0. | Inactivity ratio is 5.00. | Detected 1 drift signals.,"{""risk_score"": 0.599915611814346, ""risk_level"": ""medium"", ""inactivity_score"": 1.0, ""days_since_last_order"": 712.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-8039a9b565f1,1000082336,5103,Familia T1,Categoria T1,technical,product_mix_drift,anomaly,68.93,medium,critical,0.7,0.44391111111111115,0.9988,0.82,0.0,Ask the account owner to validate whether the product mix changed or moved to another supplier.,Product behavior drifted versus historical and peer pattern.,delegado,24,technical_product_engine,Highest drift score is 1.00. | Volume drift is 0.00. | Interval drift is 1.00.,"{""volume_drift_score"": 0.0, ""interval_drift_score"": 0.9988, ""peer_drift_score"": 0.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-b0b4b450f00a,1000101971,Categoria C2,Bioseguridad,unknown,commodity,cross_sell_opportunity,opportunity,52.0,medium,critical,0.6,0.11115599999999999,1.0,0.75,1667.34,Prepare a complementary offer linked to the client's observed consumption profile.,Detected available wallet share in a related product family.,televenta,24,feature_engineering | commodity_ai_engine,Potential gap is 1667.34. | Capture ratio is 0.00.,"{""potential_h"": 1667.34, ""potential_gap"": 1667.34, ""capture_ratio"": 0.0, ""cross_sell_score"": 1.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-81d9f0842c96,1000065814,5115,Familia T2,Categoria T1,technical,account_deterioration,executive,52.33,medium,medium,0.72,0.32980339805825243,0.6596067961165049,0.86,0.0,Escalate to the account owner and register the recovery outcome after contact.,"Account quality is deteriorating across risk, inactivity or drift signals.",delegado,48,technical_product_engine | signal_fusion,Deterioration score is 0.66. | Risk score is 0.60. | Negative growth component is -0.00.,"{""risk_score"": 0.5997087378640777, ""inactivity_score"": 1.0, ""drift_score"": 0.9985436893203884, ""negative_growth"": -0.0}",2026-05-10T01:57:50.694097,2026-05-12T01:57:50.694097,False,
AL-9646da9a81f5,41731,5108,Familia T1,Categoria T1,technical,account_deterioration,executive,52.35,medium,medium,0.72,0.32997617647058824,0.6599523529411765,0.86,0.0,Escalate to the account owner and register the recovery outcome after contact.,"Account quality is deteriorating across risk, inactivity or drift signals.",delegado,48,technical_product_engine | signal_fusion,Deterioration score is 0.66. | Risk score is 0.60. | Negative growth component is -0.00.,"{""risk_score"": 0.599964705882353, ""inactivity_score"": 1.0, ""drift_score"": 0.9998235294117648, ""negative_growth"": -0.0}",2026-05-10T01:57:50.694097,2026-05-12T01:57:50.694097,False,
AL-47391289c844,3688,5115,Familia T2,Categoria T1,technical,product_mix_drift,anomaly,69.18,medium,critical,0.7,0.4497711111111111,0.9983734547820428,0.82,8095.88,Ask the account owner to validate whether the product mix changed or moved to another supplier.,Product behavior drifted versus historical and peer pattern.,delegado,24,technical_product_engine,Highest drift score is 1.00. | Volume drift is 0.00. | Interval drift is 1.00.,"{""volume_drift_score"": 0.0, ""interval_drift_score"": 0.9983734547820428, ""peer_drift_score"": 0.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-0cb5a28a4f60,1000076911,5116,Familia T2,Categoria T1,technical,churn_risk,risk,61.5,medium,critical,0.65,0.2999733570159858,1.0,0.85,0.0,Schedule a retention call and validate whether the product has moved to a competitor.,Technical-product relationship shows abandonment risk.,delegado,24,technical_product_engine,Churn risk score is 60.0. | Inactivity ratio is 5.00. | Detected 1 drift signals.,"{""risk_score"": 0.5999467140319716, ""risk_level"": ""medium"", ""inactivity_score"": 1.0, ""days_since_last_order"": 1127.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-a8ae8f39aaef,1000100586,5108,Familia T1,Categoria T1,technical,churn_risk,risk,61.5,medium,critical,0.65,0.29989165557878733,1.0,0.85,0.0,Schedule a retention call and validate whether the product has moved to a competitor.,Technical-product relationship shows abandonment risk.,delegado,24,technical_product_engine,Churn risk score is 60.0. | Inactivity ratio is 5.00. | Detected 1 drift signals.,"{""risk_score"": 0.5997833111575747, ""risk_level"": ""medium"", ""inactivity_score"": 1.0, ""days_since_last_order"": 396.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-1e654db69fb1,30711,5100,Familia T1,Categoria T1,technical,product_mix_drift,anomaly,68.91,medium,critical,0.7,0.44371980676328493,0.9983695652173912,0.82,0.0,Ask the account owner to validate whether the product mix changed or moved to another supplier.,Product behavior drifted versus historical and peer pattern.,delegado,24,technical_product_engine,Highest drift score is 1.00. | Volume drift is 0.00. | Interval drift is 1.00.,"{""volume_drift_score"": 0.0, ""interval_drift_score"": 0.9983695652173912, ""peer_drift_score"": 0.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-065e8cf66f97,1000081362,5115,Familia T2,Categoria T1,technical,product_mix_drift,anomaly,68.99,medium,critical,0.7,0.44436152570480925,0.9998134328358208,0.82,7167.8,Ask the account owner to validate whether the product mix changed or moved to another supplier.,Product behavior drifted versus historical and peer pattern.,delegado,24,technical_product_engine,Highest drift score is 1.00. | Volume drift is 0.00. | Interval drift is 1.00.,"{""volume_drift_score"": 0.0, ""interval_drift_score"": 0.9998134328358208, ""peer_drift_score"": 0.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-ddd0e89d1b09,1000082175,Categoria T1,Biomateriales,unknown,commodity,cross_sell_opportunity,opportunity,64.18,medium,critical,0.6,0.48286733333333326,0.870121117616955,0.75,7243.009999999999,Prepare a complementary offer linked to the client's observed consumption profile.,Detected available wallet share in a related product family.,televenta,24,feature_engineering | commodity_ai_engine,Potential gap is 7243.01. | Capture ratio is 0.13.,"{""potential_h"": 8324.14, ""potential_gap"": 7243.009999999999, ""capture_ratio"": 0.1298788823830449, ""cross_sell_score"": 0.870121117616955}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-f9cc251c937a,9852,5108,Familia T1,Categoria T1,technical,account_deterioration,executive,52.34,medium,medium,0.72,0.3299159751037345,0.659831950207469,0.86,0.0,Escalate to the account owner and register the recovery outcome after contact.,"Account quality is deteriorating across risk, inactivity or drift signals.",delegado,48,technical_product_engine | signal_fusion,Deterioration score is 0.66. | Risk score is 0.60. | Negative growth component is -0.00.,"{""risk_score"": 0.5998755186721992, ""inactivity_score"": 1.0, ""drift_score"": 0.999377593360996, ""negative_growth"": -0.0}",2026-05-10T01:57:50.694097,2026-05-12T01:57:50.694097,False,
AL-2fee35199b4e,1000071799,Categoria C2,Bioseguridad,unknown,commodity,cross_sell_opportunity,opportunity,52.0,medium,critical,0.6,0.11115599999999999,1.0,0.75,1667.34,Prepare a complementary offer linked to the client's observed consumption profile.,Detected available wallet share in a related product family.,televenta,24,feature_engineering | commodity_ai_engine,Potential gap is 1667.34. | Capture ratio is 0.00.,"{""potential_h"": 1667.34, ""potential_gap"": 1667.34, ""capture_ratio"": 0.0, ""cross_sell_score"": 1.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-c6478c4e0f70,1000081335,5102,Familia T2,Categoria T1,technical,churn_risk,risk,61.5,medium,critical,0.65,0.29997826086956525,1.0,0.85,3963.5,Schedule a retention call and validate whether the product has moved to a competitor.,Technical-product relationship shows abandonment risk.,delegado,24,technical_product_engine,Churn risk score is 60.0. | Inactivity ratio is 5.00. | Detected 1 drift signals.,"{""risk_score"": 0.5999565217391305, ""risk_level"": ""medium"", ""inactivity_score"": 1.0, ""days_since_last_order"": 1381.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-7ba255931a3a,1000074594,5107,Familia T1,Categoria T1,technical,product_mix_drift,anomaly,67.18,medium,critical,0.7,0.4297330850403476,0.966899441340782,0.82,0.0,Ask the account owner to validate whether the product mix changed or moved to another supplier.,Product behavior drifted versus historical and peer pattern.,delegado,24,technical_product_engine,Highest drift score is 0.97. | Volume drift is 0.90. | Interval drift is 0.97.,"{""volume_drift_score"": 0.8999999999999999, ""interval_drift_score"": 0.966899441340782, ""peer_drift_score"": 0.8425509851795274}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-679c9d707a3b,38747,5382,Familia T1,Categoria T1,technical,product_mix_drift,anomaly,68.88,medium,critical,0.7,0.4434640522875817,0.9977941176470588,0.82,4087.21,Ask the account owner to validate whether the product mix changed or moved to another supplier.,Product behavior drifted versus historical and peer pattern.,delegado,24,technical_product_engine,Highest drift score is 1.00. | Volume drift is 0.00. | Interval drift is 1.00.,"{""volume_drift_score"": 0.0, ""interval_drift_score"": 0.9977941176470588, ""peer_drift_score"": 0.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-883d57acd8aa,1000082569,5099,Familia T1,Categoria T1,technical,account_deterioration,executive,52.34,medium,medium,0.72,0.32994656992084437,0.6598931398416887,0.86,0.0,Escalate to the account owner and register the recovery outcome after contact.,"Account quality is deteriorating across risk, inactivity or drift signals.",delegado,48,technical_product_engine | signal_fusion,Deterioration score is 0.66. | Risk score is 0.60. | Negative growth component is -0.00.,"{""risk_score"": 0.5999208443271768, ""inactivity_score"": 1.0, ""drift_score"": 0.9996042216358838, ""negative_growth"": -0.0}",2026-05-10T01:57:50.694097,2026-05-12T01:57:50.694097,False,
AL-bc47f35bce8f,5495,Categoria C1,Anestesia,unknown,commodity,cross_sell_opportunity,opportunity,45.5,low,high,0.6,0.119138,0.8038567418762821,0.75,1787.07,Prepare a complementary offer linked to the client's observed consumption profile.,Detected available wallet share in a related product family.,marketing_automation,48,feature_engineering | commodity_ai_engine,Potential gap is 1787.07. | Capture ratio is 0.20.,"{""potential_h"": 2223.12, ""potential_gap"": 1787.07, ""capture_ratio"": 0.196143258123718, ""cross_sell_score"": 0.8038567418762821}",2026-05-10T01:57:50.694097,2026-05-12T01:57:50.694097,False,
AL-e65453b2612c,25398,Categoria C1,Anestesia,unknown,commodity,cross_sell_opportunity,opportunity,35.16,low,medium,0.6,0.068856,0.5730486695221821,0.75,1032.84,Prepare a complementary offer linked to the client's observed consumption profile.,Detected available wallet share in a related product family.,marketing_automation,72,feature_engineering | commodity_ai_engine,Potential gap is 1032.84. | Capture ratio is 0.43.,"{""potential_h"": 1802.36, ""potential_gap"": 1032.84, ""capture_ratio"": 0.4269513304778179, ""cross_sell_score"": 0.5730486695221821}",2026-05-10T01:57:50.694097,2026-05-13T01:57:50.694097,False,
AL-7b8222c6949f,33915,Categoria T1,Biomateriales,unknown,commodity,cross_sell_opportunity,opportunity,63.01,medium,critical,0.6,0.35586666666666666,1.0,0.75,5338.0,Prepare a complementary offer linked to the client's observed consumption profile.,Detected available wallet share in a related product family.,televenta,24,feature_engineering | commodity_ai_engine,Potential gap is 5338.00. | Capture ratio is 0.00.,"{""potential_h"": 5338.0, ""potential_gap"": 5338.0, ""capture_ratio"": 0.0, ""cross_sell_score"": 1.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-2bd7d0a5d898,1000076598,5099,Familia T1,Categoria T1,technical,churn_risk,risk,61.49,medium,critical,0.65,0.29973803071364047,1.0,0.85,0.0,Schedule a retention call and validate whether the product has moved to a competitor.,Technical-product relationship shows abandonment risk.,delegado,24,technical_product_engine,Churn risk score is 59.9. | Inactivity ratio is 5.00. | Detected 1 drift signals.,"{""risk_score"": 0.5994760614272809, ""risk_level"": ""medium"", ""inactivity_score"": 1.0, ""days_since_last_order"": 670.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-b0955325b51d,27238,5103,Familia T1,Categoria T1,technical,churn_risk,risk,61.5,medium,critical,0.65,0.29990574910451645,1.0,0.85,0.0,Schedule a retention call and validate whether the product has moved to a competitor.,Technical-product relationship shows abandonment risk.,delegado,24,technical_product_engine,Churn risk score is 60.0. | Inactivity ratio is 5.00. | Detected 1 drift signals.,"{""risk_score"": 0.5998114982090329, ""risk_level"": ""medium"", ""inactivity_score"": 1.0, ""days_since_last_order"": 557.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-898d57709464,1000101591,Categoria C2,Bioseguridad,unknown,commodity,cross_sell_opportunity,opportunity,50.26,medium,critical,0.6,0.07242933333333333,1.0,0.75,1086.44,Prepare a complementary offer linked to the client's observed consumption profile.,Detected available wallet share in a related product family.,televenta,24,feature_engineering | commodity_ai_engine,Potential gap is 1086.44. | Capture ratio is 0.00.,"{""potential_h"": 1086.44, ""potential_gap"": 1086.44, ""capture_ratio"": 0.0, ""cross_sell_score"": 1.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-63c2200e42b0,1000100246,5105,Familia T1,Categoria T1,technical,product_mix_drift,anomaly,68.63,medium,critical,0.7,0.4414531486249029,0.9932695844060316,0.82,0.0,Ask the account owner to validate whether the product mix changed or moved to another supplier.,Product behavior drifted versus historical and peer pattern.,delegado,24,technical_product_engine,Highest drift score is 0.99. | Volume drift is 0.00. | Interval drift is 0.99.,"{""volume_drift_score"": 0.0, ""interval_drift_score"": 0.9932695844060316, ""peer_drift_score"": 0.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-fe3a1b931888,18427,5106,Familia T1,Categoria T1,technical,churn_risk,risk,61.5,medium,critical,0.65,0.299969450101833,1.0,0.85,0.0,Schedule a retention call and validate whether the product has moved to a competitor.,Technical-product relationship shows abandonment risk.,delegado,24,technical_product_engine,Churn risk score is 60.0. | Inactivity ratio is 5.00. | Detected 1 drift signals.,"{""risk_score"": 0.599938900203666, ""risk_level"": ""medium"", ""inactivity_score"": 1.0, ""days_since_last_order"": 983.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-37afd475846c,40294,5099,Familia T1,Categoria T1,technical,product_mix_drift,anomaly,72.77,high,critical,0.7,0.5310549999999999,0.9962655601659752,0.82,9558.99,Ask the account owner to validate whether the product mix changed or moved to another supplier.,Product behavior drifted versus historical and peer pattern.,delegado,24,technical_product_engine,Highest drift score is 1.00. | Volume drift is 0.00. | Interval drift is 1.00.,"{""volume_drift_score"": 0.0, ""interval_drift_score"": 0.9962655601659752, ""peer_drift_score"": 0.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-62c21723bbab,25896,5118,Familia T2,Categoria T1,technical,churn_risk,risk,61.49,medium,critical,0.65,0.2997079465700702,1.0,0.85,0.0,Schedule a retention call and validate whether the product has moved to a competitor.,Technical-product relationship shows abandonment risk.,delegado,24,technical_product_engine,Churn risk score is 59.9. | Inactivity ratio is 4.96. | Detected 1 drift signals.,"{""risk_score"": 0.5994158931401404, ""risk_level"": ""medium"", ""inactivity_score"": 1.0, ""days_since_last_order"": 223.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-9dee25aa9b60,36348,Categoria C2,Bioseguridad,unknown,commodity,cross_sell_opportunity,opportunity,50.26,medium,critical,0.6,0.07242933333333333,1.0,0.75,1086.44,Prepare a complementary offer linked to the client's observed consumption profile.,Detected available wallet share in a related product family.,televenta,24,feature_engineering | commodity_ai_engine,Potential gap is 1086.44. | Capture ratio is 0.00.,"{""potential_h"": 1086.44, ""potential_gap"": 1086.44, ""capture_ratio"": 0.0, ""cross_sell_score"": 1.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-e107b07d2258,1000080627,5107,Familia T1,Categoria T1,technical,churn_risk,risk,61.38,medium,critical,0.65,0.2972362555720654,1.0,0.85,0.0,Schedule a retention call and validate whether the product has moved to a competitor.,Technical-product relationship shows abandonment risk.,delegado,24,technical_product_engine,Churn risk score is 59.4. | Inactivity ratio is 5.00. | Detected 1 drift signals.,"{""risk_score"": 0.5944725111441308, ""risk_level"": ""medium"", ""inactivity_score"": 1.0, ""days_since_last_order"": 294.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
